"Книга","Автор","Ссылка"
"На западном фронте без перемен","Ремарк, Эрих Мария","https://ru.wikipedia.org/wiki/%D0%9D%D0%B0_%D0%B7%D0%B0%D0%BF%D0%B0%D0%B4%D0%BD%D0%BE%D0%BC_%D1%84%D1%80%D0%BE%D0%BD%D1%82%D0%B5_%D0%B1%D0%B5%D0%B7_%D0%BF%D0%B5%D1%80%D0%B5%D0%BC%D0%B5%D0%BD"
"Hi-Fi (роман)","Хорнби, Ник","https://ru.wikipedia.org/wiki/Hi-Fi_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Оно (роман)","Кинг, Стивен Эдвин","https://ru.wikipedia.org/wiki/%D0%9E%D0%BD%D0%BE_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Джеймс и гигантский персик","Даль, Роальд","https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%B5%D0%B9%D0%BC%D1%81_%D0%B8_%D0%B3%D0%B8%D0%B3%D0%B0%D0%BD%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B5%D1%80%D1%81%D0%B8%D0%BA"
"Зелёная миля","Кинг, Стивен Эдвин","https://ru.wikipedia.org/wiki/%D0%97%D0%B5%D0%BB%D1%91%D0%BD%D0%B0%D1%8F_%D0%BC%D0%B8%D0%BB%D1%8F"
"Мотылёк (роман)","Шарьер, Анри","https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%82%D1%8B%D0%BB%D1%91%D0%BA_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"К оружию! К оружию!","Пратчетт, Терри","https://ru.wikipedia.org/wiki/%D0%9A_%D0%BE%D1%80%D1%83%D0%B6%D0%B8%D1%8E!_%D0%9A_%D0%BE%D1%80%D1%83%D0%B6%D0%B8%D1%8E!"
"Цикл о капитане Джеке Обри и докторе Стивене Мэтьюрине","О’Брайан, Патрик","https://ru.wikipedia.org/wiki/%D0%A6%D0%B8%D0%BA%D0%BB_%D0%BE_%D0%BA%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D0%B5_%D0%94%D0%B6%D0%B5%D0%BA%D0%B5_%D0%9E%D0%B1%D1%80%D0%B8_%D0%B8_%D0%B4%D0%BE%D0%BA%D1%82%D0%BE%D1%80%D0%B5_%D0%A1%D1%82%D0%B8%D0%B2%D0%B5%D0%BD%D0%B5_%D0%9C%D1%8D%D1%82%D1%8C%D1%8E%D1%80%D0%B8%D0%BD%D0%B5"
"Роковая музыка","Пратчетт, Терри","https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%BA%D0%BE%D0%B2%D0%B0%D1%8F_%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B0"
"Вор времени","Пратчетт, Терри","https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%80_%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%B8"
"Пятый элефант","Пратчетт, Терри","https://ru.wikipedia.org/wiki/%D0%9F%D1%8F%D1%82%D1%8B%D0%B9_%D1%8D%D0%BB%D0%B5%D1%84%D0%B0%D0%BD%D1%82"
"Искупление (роман)","Макьюэн, Иэн","https://ru.wikipedia.org/wiki/%D0%98%D1%81%D0%BA%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Пролетая над гнездом кукушки","Кизи, Кен","https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D0%BB%D0%B5%D1%82%D0%B0%D1%8F_%D0%BD%D0%B0%D0%B4_%D0%B3%D0%BD%D0%B5%D0%B7%D0%B4%D0%BE%D0%BC_%D0%BA%D1%83%D0%BA%D1%83%D1%88%D0%BA%D0%B8"
"Сердце тьмы (роман)","Конрад, Джозеф","https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B4%D1%86%D0%B5_%D1%82%D1%8C%D0%BC%D1%8B_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Ким (роман)","Киплинг, Редьярд","https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D0%BC_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Чужестранка (роман)","Гэблдон, Диана","https://ru.wikipedia.org/wiki/%D0%A7%D1%83%D0%B6%D0%B5%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%BA%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Моби Дик (роман)","Мелвилл, Герман","https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D0%B1%D0%B8_%D0%94%D0%B8%D0%BA_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Песнь на закате (страница отсутствует)",NA,"https://ru.wikipedia.org/w/index.php?title=%D0%9F%D0%B5%D1%81%D0%BD%D1%8C_%D0%BD%D0%B0_%D0%B7%D0%B0%D0%BA%D0%B0%D1%82%D0%B5&action=edit&redlink=1"
"Корабельные новости","Пру, Энни","https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%B0%D0%B1%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5_%D0%BD%D0%BE%D0%B2%D0%BE%D1%81%D1%82%D0%B8"
"Божество реки","Смит, Уилбур","https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%B6%D0%B5%D1%81%D1%82%D0%B2%D0%BE_%D1%80%D0%B5%D0%BA%D0%B8"
"Мир глазами Гарпа","Ирвинг, Джон Уинслоу","https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D1%80_%D0%B3%D0%BB%D0%B0%D0%B7%D0%B0%D0%BC%D0%B8_%D0%93%D0%B0%D1%80%D0%BF%D0%B0"
"Лорна Дун (роман, 1869)","Блэкмор, Ричард","https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D1%80%D0%BD%D0%B0_%D0%94%D1%83%D0%BD_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD,_1869)"
"Девчонки гуляют допоздна (страница отсутствует)","Уилсон, Жаклин","https://ru.wikipedia.org/w/index.php?title=%D0%94%D0%B5%D0%B2%D1%87%D0%BE%D0%BD%D0%BA%D0%B8_%D0%B3%D1%83%D0%BB%D1%8F%D1%8E%D1%82_%D0%B4%D0%BE%D0%BF%D0%BE%D0%B7%D0%B4%D0%BD%D0%B0&action=edit&redlink=1"
"Паутина Шарлотты (книга)","Уайт, Элвин Брукс","https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%83%D1%82%D0%B8%D0%BD%D0%B0_%D0%A8%D0%B0%D1%80%D0%BB%D0%BE%D1%82%D1%82%D1%8B_(%D0%BA%D0%BD%D0%B8%D0%B3%D0%B0)"
"Франкенштейн, или Современный Прометей","Шелли, Мэри Уолстонкрафт","https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D0%BA%D0%B5%D0%BD%D1%88%D1%82%D0%B5%D0%B9%D0%BD,_%D0%B8%D0%BB%D0%B8_%D0%A1%D0%BE%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%9F%D1%80%D0%BE%D0%BC%D0%B5%D1%82%D0%B5%D0%B9"
"Старик и море (повесть)","Хемингуэй, Эрнест","https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D1%80%D0%B8%D0%BA_%D0%B8_%D0%BC%D0%BE%D1%80%D0%B5_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)"
"Лолита (роман)","Набоков, Владимир Владимирович","https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D0%BB%D0%B8%D1%82%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Имя розы","Эко, Умберто","https://ru.wikipedia.org/wiki/%D0%98%D0%BC%D1%8F_%D1%80%D0%BE%D0%B7%D1%8B"
"Мир Софии","Гордер, Юстейн","https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D1%80_%D0%A1%D0%BE%D1%84%D0%B8%D0%B8"
"Изумительный мистер Лис","Даль, Роальд","https://ru.wikipedia.org/wiki/%D0%98%D0%B7%D1%83%D0%BC%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%BC%D0%B8%D1%81%D1%82%D0%B5%D1%80_%D0%9B%D0%B8%D1%81"
"Чайка по имени Джонатан Ливингстон","Бах, Ричард","https://ru.wikipedia.org/wiki/%D0%A7%D0%B0%D0%B9%D0%BA%D0%B0_%D0%BF%D0%BE_%D0%B8%D0%BC%D0%B5%D0%BD%D0%B8_%D0%94%D0%B6%D0%BE%D0%BD%D0%B0%D1%82%D0%B0%D0%BD_%D0%9B%D0%B8%D0%B2%D0%B8%D0%BD%D0%B3%D1%81%D1%82%D0%BE%D0%BD"
"Маленький принц","Сент-Экзюпери, Антуан де","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D0%B5%D0%BD%D1%8C%D0%BA%D0%B8%D0%B9_%D0%BF%D1%80%D0%B8%D0%BD%D1%86"
"Приключения Оливера Твиста","Диккенс, Чарльз","https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F_%D0%9E%D0%BB%D0%B8%D0%B2%D0%B5%D1%80%D0%B0_%D0%A2%D0%B2%D0%B8%D1%81%D1%82%D0%B0"
"Американский психопат","Эллис, Брет Истон","https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D1%81%D0%B8%D1%85%D0%BE%D0%BF%D0%B0%D1%82"
"На игле (роман)","Уэлш, Ирвин","https://ru.wikipedia.org/wiki/%D0%9D%D0%B0_%D0%B8%D0%B3%D0%BB%D0%B5_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Хайди (повесть)","Шпири, Иоганна","https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D0%B9%D0%B4%D0%B8_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)"
"Сыновья и любовники","Лоуренс, Дэвид Герберт","https://ru.wikipedia.org/wiki/%D0%A1%D1%8B%D0%BD%D0%BE%D0%B2%D1%8C%D1%8F_%D0%B8_%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D0%BD%D0%B8%D0%BA%D0%B8"
"Невыносимая лёгкость бытия","Кундера, Милан","https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%B2%D1%8B%D0%BD%D0%BE%D1%81%D0%B8%D0%BC%D0%B0%D1%8F_%D0%BB%D1%91%D0%B3%D0%BA%D0%BE%D1%81%D1%82%D1%8C_%D0%B1%D1%8B%D1%82%D0%B8%D1%8F"
"Правда (Плоский мир)","Пратчетт, Терри","https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B2%D0%B4%D0%B0_(%D0%9F%D0%BB%D0%BE%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%B8%D1%80)"
"Война миров","Уэллс, Герберт Джордж","https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D0%B0_%D0%BC%D0%B8%D1%80%D0%BE%D0%B2"
"Ужастики (серия книг)","Стайн, Роберт Лоуренс","https://ru.wikipedia.org/wiki/%D0%A3%D0%B6%D0%B0%D1%81%D1%82%D0%B8%D0%BA%D0%B8_(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%BA%D0%BD%D0%B8%D0%B3)"
"Ведьмы за границей","Пратчетт, Терри","https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%B4%D1%8C%D0%BC%D1%8B_%D0%B7%D0%B0_%D0%B3%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B5%D0%B9"
"Король былого и грядущего","Уайт, Теренс Хэнбери","https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%8C_%D0%B1%D1%8B%D0%BB%D0%BE%D0%B3%D0%BE_%D0%B8_%D0%B3%D1%80%D1%8F%D0%B4%D1%83%D1%89%D0%B5%D0%B3%D0%BE"
"Очень голодная гусеница","Карл, Эрик","https://ru.wikipedia.org/wiki/%D0%9E%D1%87%D0%B5%D0%BD%D1%8C_%D0%B3%D0%BE%D0%BB%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F_%D0%B3%D1%83%D1%81%D0%B5%D0%BD%D0%B8%D1%86%D0%B0"
"Цветы на чердаке","Эндрюс, Вирджиния","https://ru.wikipedia.org/wiki/%D0%A6%D0%B2%D0%B5%D1%82%D1%8B_%D0%BD%D0%B0_%D1%87%D0%B5%D1%80%D0%B4%D0%B0%D0%BA%D0%B5"
